SEX,SCHLCOLL,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,180,0,60,0,0,0,0,0,0,700,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,0,0,0,0,0,0,130,605,0,120,0,85,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,25,0,0,150,0,105,0,0,0,77,565,40,360,0,58,0,50,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,15,75,0,0,0,0,225,0,645,90,185,0,130,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,25,150,0,0,0,0,0,405,0,570,0,45,0,45,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,360,0,75,0,0,330,0,0,0,360,70,160,0,50,0,35,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,90,0,0,0,0,0,0,490,0,120,0,10,0,135,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,30,15,0,180,150,0,0,0,570,0,75,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,60,0,0,155,0,0,0,0,0,115,715,0,195,0,65,0,75,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,70,0,0,0,0,0,0,910,0,170,0,0,0,120,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,10,0,0,70,0,0,0,60,0,15,450,0,132,0,8,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,120,0,0,0,40,0,0,0,0,0,0,780,0,360,0,120,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,140,0,0,0,210,0,0,0,0,0,60,555,45,160,10,130,0,120,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,0,0,0,0,0,0,50,700,0,60,0,90,0,40,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,20,0,0,25,0,0,0,0,0,0,390,30,10,0,25,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,150,0,40,0,30,120,0,0,0,405,75,0,0,135,0,15,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,20,0,0,23,60,0,0,0,0,20,420,0,180,0,137,0,50,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,430,0,60,60,0,235,0,0,0,390,0,135,0,65,0,50,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,105,0,0,0,0,0,0,565,0,119,0,2,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,0,0,335,0,30,15,270,0,0,0,199,95,35,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,0,0,0,0,0,0,660,0,105,0,40,0,65,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,0,0,0,0,0,0,600,0,690,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,20,0,0,600,0,0,10,600,0,160,0,40,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,147,0,0,35,0,119,25,124,0,0,585,202,55,0,58,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,150,0,0,180,0,0,0,570,0,120,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,360,15,50,0,0,440,0,0,0,420,0,55,0,10,0,65,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,385,50,0,67,0,0,0,0,0,0,620,0,170,0,53,0,90,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,85,0,0,0,300,0,90,480,0,328,0,32,0,10,,,,,,,,,,,,,,,,,,,,,,,
